Detected Cases,Quantity,Point
Case_2,13,Point_3
Case_3,13,Point_3
Case_4,13,Point_3
Case_5,13,Point_3
Case_6,13,Point_3
Case_7,13,Point_3
Case_8,13,Point_3
Case_10,13,Point_3
Case_11,13,Point_3
Case_12,13,Point_3
Case_13,13,Point_3
Case_14,13,Point_3
Case_16,13,Point_3
Case_2,12,Point_10
Case_4,12,Point_10
Case_5,12,Point_10
Case_6,12,Point_10
Case_7,12,Point_10
Case_8,12,Point_10
Case_10,12,Point_10
Case_12,12,Point_10
Case_13,12,Point_10
Case_14,12,Point_10
Case_15,12,Point_10
Case_16,12,Point_10
Case_1,10,Point_26
Case_4,10,Point_26
Case_5,10,Point_26
Case_7,10,Point_26
Case_8,10,Point_26
Case_9,10,Point_26
Case_11,10,Point_26
Case_12,10,Point_26
Case_13,10,Point_26
Case_15,10,Point_26
Case_1,10,Point_13
Case_2,10,Point_13
Case_4,10,Point_13
Case_5,10,Point_13
Case_6,10,Point_13
Case_9,10,Point_13
Case_10,10,Point_13
Case_12,10,Point_13
Case_13,10,Point_13
Case_14,10,Point_13
Case_1,9,Point_7
Case_2,9,Point_7
Case_3,9,Point_7
Case_5,9,Point_7
Case_6,9,Point_7
Case_9,9,Point_7
Case_11,9,Point_7
Case_13,9,Point_7
Case_14,9,Point_7
Case_1,9,Point_25
Case_4,9,Point_25
Case_5,9,Point_25
Case_8,9,Point_25
Case_9,9,Point_25
Case_11,9,Point_25
Case_12,9,Point_25
Case_13,9,Point_25
Case_16,9,Point_25
Case_1,9,Point_12
Case_2,9,Point_12
Case_4,9,Point_12
Case_6,9,Point_12
Case_7,9,Point_12
Case_9,9,Point_12
Case_10,9,Point_12
Case_12,9,Point_12
Case_14,9,Point_12
Case_4,8,Point_9
Case_5,8,Point_9
Case_7,8,Point_9
Case_8,8,Point_9
Case_12,8,Point_9
Case_13,8,Point_9
Case_15,8,Point_9
Case_16,8,Point_9
Case_2,8,Point_8
Case_3,8,Point_8
Case_5,8,Point_8
Case_6,8,Point_8
Case_8,8,Point_8
Case_12,8,Point_8
Case_13,8,Point_8
Case_16,8,Point_8
Case_1,8,Point_28
Case_3,8,Point_28
Case_4,8,Point_28
Case_8,8,Point_28
Case_9,8,Point_28
Case_11,8,Point_28
Case_12,8,Point_28
Case_16,8,Point_28
Case_1,8,Point_22
Case_5,8,Point_22
Case_7,8,Point_22
Case_8,8,Point_22
Case_9,8,Point_22
Case_12,8,Point_22
Case_15,8,Point_22
Case_16,8,Point_22
Case_1,8,Point_19
Case_4,8,Point_19
Case_5,8,Point_19
Case_8,8,Point_19
Case_9,8,Point_19
Case_12,8,Point_19
Case_13,8,Point_19
Case_16,8,Point_19
Case_4,8,Point_1
Case_5,8,Point_1
Case_7,8,Point_1
Case_8,8,Point_1
Case_12,8,Point_1
Case_13,8,Point_1
Case_15,8,Point_1
Case_16,8,Point_1
Case_2,7,Point_6
Case_6,7,Point_6
Case_8,7,Point_6
Case_10,7,Point_6
Case_12,7,Point_6
Case_14,7,Point_6
Case_16,7,Point_6
Case_1,7,Point_30
Case_3,7,Point_30
Case_4,7,Point_30
Case_8,7,Point_30
Case_9,7,Point_30
Case_11,7,Point_30
Case_15,7,Point_30
Case_4,7,Point_21
Case_5,7,Point_21
Case_8,7,Point_21
Case_9,7,Point_21
Case_12,7,Point_21
Case_13,7,Point_21
Case_16,7,Point_21
Case_2,7,Point_2
Case_6,7,Point_2
Case_9,7,Point_2
Case_10,7,Point_2
Case_12,7,Point_2
Case_14,7,Point_2
Case_16,7,Point_2
Case_5,6,Point_4
Case_6,6,Point_4
Case_12,6,Point_4
Case_13,6,Point_4
Case_14,6,Point_4
Case_16,6,Point_4
Case_1,5,Point_14
Case_7,5,Point_14
Case_9,5,Point_14
Case_10,5,Point_14
Case_15,5,Point_14
Case_6,5,Point_11
Case_7,5,Point_11
Case_11,5,Point_11
Case_14,5,Point_11
Case_15,5,Point_11
Case_1,4,Point_18
Case_3,4,Point_18
Case_7,4,Point_18
Case_9,4,Point_18
Case_2,4,Point_16
Case_6,4,Point_16
Case_10,4,Point_16
Case_14,4,Point_16
Case_4,3,Point_5
Case_12,3,Point_5
Case_16,3,Point_5
Case_2,3,Point_20
Case_6,3,Point_20
Case_14,3,Point_20
Case_2,3,Point_15
Case_6,3,Point_15
Case_10,3,Point_15
Case_12,2,Point_23
Case_16,2,Point_23
Case_4,1,Point_29
