X, Y , Z , Mass_Fraction
9.74123192e+00, -2.60644937e+00, -8.49767208e+00, 1.63173042e-04
9.74123192e+00, -2.60644937e+00, -3.74527454e+00, 9.19834338e-04
9.74123192e+00, -2.60644937e+00, 1.00712490e+00, 1.01373401e-04
9.74123192e+00, -2.60644937e+00, 5.75952053e+00, 9.96859837e-04
9.74123192e+00, -2.60644937e+00, 1.05119200e+01, 2.45694973e-04
4.98883486e+00, -2.60644937e+00, -8.49767208e+00, 8.42151046e-04
4.98883486e+00, -2.60644937e+00, -3.74527454e+00, 8.78550019e-03
4.98883486e+00, -2.60644937e+00, 1.00712490e+00, 8.90571252e-04
4.98883486e+00, -2.60644937e+00, 5.75952053e+00, 9.33091156e-04
4.98883486e+00, -2.60644937e+00, 1.05119200e+01, 1.37142539e-04
2.36435294e-01, -2.60644937e+00, -8.49767208e+00, 7.87146203e-04
2.36435294e-01, -2.60644937e+00, -3.74527454e+00, 7.91759882e-03
2.36435294e-01, -2.60644937e+00, 1.00712490e+00, 7.50360778e-03
2.36435294e-01, -2.60644937e+00, 5.75952053e+00, 8.10665637e-03
2.36435294e-01, -2.60644937e+00, 1.05119200e+01, 8.71274527e-04
-4.51596022e+00, -2.60644937e+00, -8.49767208e+00, 7.19748298e-04
-4.51596022e+00, -2.60644937e+00, -3.74527454e+00, 7.14011304e-04
-4.51596022e+00, -2.60644937e+00, 1.00712490e+00, 6.89536985e-03
-4.51596022e+00, -2.60644937e+00, 5.75952053e+00, 7.12934555e-03
-4.51596022e+00, -2.60644937e+00, 1.05119200e+01, 8.36167857e-04
-9.26836014e+00, -2.60644937e+00, -8.49767208e+00, 6.60299975e-04
-9.26836014e+00, -2.60644937e+00, -3.74527454e+00, 6.58991979e-03
-9.26836014e+00, -2.60644937e+00, 1.00712490e+00, 6.66321628e-04
-9.26836014e+00, -2.60644937e+00, 5.75952053e+00, 6.65866258e-04
-9.26836014e+00, -2.60644937e+00, 1.05119200e+01, 9.04162694e-03
-1.40207596e+01, -2.60644937e+00, -8.49767208e+00, 6.12263009e-03
-1.40207596e+01, -2.60644937e+00, -3.74527454e+00, 6.23572385e-04
-1.40207596e+01, -2.60644937e+00, 1.00712490e+00, 6.47886004e-03
-1.40207596e+01, -2.60644937e+00, 5.75952053e+00, 6.41206000e-04
-1.40207596e+01, -2.60644937e+00, 1.05119200e+01, 8.64139944e-03
9.74123192e+00, -2.60644937e+00, -8.49767208e+00, 3.19316564e-04
9.74123192e+00, -2.60644937e+00, -3.74527454e+00, 1.48860104e-02
9.74123192e+00, -2.60644937e+00, 1.00712490e+00, 1.46221127e-02
9.74123192e+00, -2.60644937e+00, 5.75952053e+00, 1.40845384e-04
9.74123192e+00, -2.60644937e+00, 1.05119200e+01, 0.00000000e+00
4.98883486e+00, -2.60644937e+00, -8.49767208e+00, 1.32790562e-02
4.98883486e+00, -2.60644937e+00, -3.74527454e+00, 6.57474855e-03
4.98883486e+00, -2.60644937e+00, 1.00712490e+00, 4.71714512e-03
4.98883486e+00, -2.60644937e+00, 5.75952053e+00, 8.41575209e-04
4.98883486e+00, -2.60644937e+00, 1.05119200e+01, 3.57374316e-03
2.36435294e-01, -2.60644937e+00, -8.49767208e+00, 1.04084034e-04
2.36435294e-01, -2.60644937e+00, -3.74527454e+00, 4.62565292e-03
2.36435294e-01, -2.60644937e+00, 1.00712490e+00, 2.13250518e-03
2.36435294e-01, -2.60644937e+00, 5.75952053e+00, 6.01425581e-04
2.36435294e-01, -2.60644937e+00, 1.05119200e+01, 9.70263779e-03
-4.51596022e+00, -2.60644937e+00, -8.49767208e+00, 3.83729604e-03
-4.51596022e+00, -2.60644937e+00, -3.74527454e+00, 1.37008354e-03
-4.51596022e+00, -2.60644937e+00, 1.00712490e+00, 9.54784919e-04
-4.51596022e+00, -2.60644937e+00, 5.75952053e+00, 1.56215788e-03
-4.51596022e+00, -2.60644937e+00, 1.05119200e+01, 2.02837097e-03
-9.26836014e+00, -2.60644937e+00, -8.49767208e+00, 6.96536619e-04
-9.26836014e+00, -2.60644937e+00, -3.74527454e+00, 7.05260260e-04
-9.26836014e+00, -2.60644937e+00, 1.00712490e+00, 6.84173487e-04
-9.26836014e+00, -2.60644937e+00, 5.75952053e+00, 6.48842659e-04
-9.26836014e+00, -2.60644937e+00, 1.05119200e+01, 5.74588368e-04
-1.40207596e+01, -2.60644937e+00, -8.49767208e+00, 5.48274489e-04
-1.40207596e+01, -2.60644937e+00, -3.74527454e+00, 5.65234979e-04
-1.40207596e+01, -2.60644937e+00, 1.00712490e+00, 5.62005676e-04
-1.40207596e+01, -2.60644937e+00, 5.75952053e+00, 5.25670068e-04
-1.40207596e+01, -2.60644937e+00, 1.05119200e+01, 4.84386401e-04
9.74123192e+00, -2.60644937e+00, -8.49767208e+00, 1.63173042e-04
9.74123192e+00, -2.60644937e+00, -3.74527454e+00, 9.19834338e-04
9.74123192e+00, -2.60644937e+00, 1.00712490e+00, 1.01373401e-02
9.74123192e+00, -2.60644937e+00, 5.75952053e+00, 9.96859837e-04
9.74123192e+00, -2.60644937e+00, 1.05119200e+01, 2.45694973e-04
4.98883486e+00, -2.60644937e+00, -8.49767208e+00, 8.42151046e-04
4.98883486e+00, -2.60644937e+00, -3.74527454e+00, 8.78550019e-03
4.98883486e+00, -2.60644937e+00, 1.00712490e+00, 8.90571252e-03
4.98883486e+00, -2.60644937e+00, 5.75952053e+00, 9.33091156e-04
4.98883486e+00, -2.60644937e+00, 1.05119200e+01, 1.37142539e-04
2.36435294e-01, -2.60644937e+00, -8.49767208e+00, 7.87146203e-04
2.36435294e-01, -2.60644937e+00, -3.74527454e+00, 7.91759882e-04
2.36435294e-01, -2.60644937e+00, 1.00712490e+00, 7.50360778e-04
2.36435294e-01, -2.60644937e+00, 5.75952053e+00, 8.10665637e-04
2.36435294e-01, -2.60644937e+00, 1.05119200e+01, 8.71274527e-04
-4.51596022e+00, -2.60644937e+00, -8.49767208e+00, 7.19748298e-04
-4.51596022e+00, -2.60644937e+00, -3.74527454e+00, 7.14011304e-04
-4.51596022e+00, -2.60644937e+00, 1.00712490e+00, 6.89536985e-03
-4.51596022e+00, -2.60644937e+00, 5.75952053e+00, 7.12934555e-04
-4.51596022e+00, -2.60644937e+00, 1.05119200e+01, 8.36167857e-04
-9.26836014e+00, -2.60644937e+00, -8.49767208e+00, 6.60299975e-04
-9.26836014e+00, -2.60644937e+00, -3.74527454e+00, 6.58991979e-04
-9.26836014e+00, -2.60644937e+00, 1.00712490e+00, 6.66321628e-04
-9.26836014e+00, -2.60644937e+00, 5.75952053e+00, 6.65866258e-04
-9.26836014e+00, -2.60644937e+00, 1.05119200e+01, 9.04162694e-04
-1.40207596e+01, -2.60644937e+00, -8.49767208e+00, 6.12263009e-04
-1.40207596e+01, -2.60644937e+00, -3.74527454e+00, 6.23572385e-04
-1.40207596e+01, -2.60644937e+00, 1.00712490e+00, 6.47886004e-03
-1.40207596e+01, -2.60644937e+00, 5.75952053e+00, 6.41206000e-04
-1.40207596e+01, -2.60644937e+00, 1.05119200e+01, 8.64139944e-03
9.74123192e+00, -2.60644937e+00, -8.49767208e+00, 1.63173042e-02
9.74123192e+00, -2.60644937e+00, -3.74527454e+00, 9.19834338e-04
9.74123192e+00, -2.60644937e+00, 1.00712490e+00, 1.01373401e-02
9.74123192e+00, -2.60644937e+00, 5.75952053e+00, 9.96859837e-04
9.74123192e+00, -2.60644937e+00, 1.05119200e+01, 2.45694973e-03
