X [ m ], Y [ m ], Z [ m ], CO2 Ideal Gas.Mass Fraction
9.74123192e+00, -2.60644937e+00, -8.49767208e+00, 1.63173042e-02
9.74123192e+00, -2.60644937e+00, -3.74527454e+00, 9.19834338e-03
9.74123192e+00, -2.60644937e+00, 1.00712490e+00, 1.01373401e-02
9.74123192e+00, -2.60644937e+00, 5.75952053e+00, 9.96859837e-03
9.74123192e+00, -2.60644937e+00, 1.05119200e+01, 2.45694973e-04
4.98883486e+00, -2.60644937e+00, -8.49767208e+00, 8.42151046e-03
4.98883486e+00, -2.60644937e+00, -3.74527454e+00, 8.78550019e-03
4.98883486e+00, -2.60644937e+00, 1.00712490e+00, 8.90571252e-03
4.98883486e+00, -2.60644937e+00, 5.75952053e+00, 9.33091156e-03
4.98883486e+00, -2.60644937e+00, 1.05119200e+01, 1.37142539e-02
2.36435294e-01, -2.60644937e+00, -8.49767208e+00, 7.87146203e-03
2.36435294e-01, -2.60644937e+00, -3.74527454e+00, 7.91759882e-03
2.36435294e-01, -2.60644937e+00, 1.00712490e+00, 7.50360778e-03
2.36435294e-01, -2.60644937e+00, 5.75952053e+00, 8.10665637e-03
2.36435294e-01, -2.60644937e+00, 1.05119200e+01, 8.71274527e-03
-4.51596022e+00, -2.60644937e+00, -8.49767208e+00, 7.19748298e-03
-4.51596022e+00, -2.60644937e+00, -3.74527454e+00, 7.14011304e-03
-4.51596022e+00, -2.60644937e+00, 1.00712490e+00, 6.89536985e-03
-4.51596022e+00, -2.60644937e+00, 5.75952053e+00, 7.12934555e-03
-4.51596022e+00, -2.60644937e+00, 1.05119200e+01, 8.36167857e-03
-9.26836014e+00, -2.60644937e+00, -8.49767208e+00, 6.60299975e-03
-9.26836014e+00, -2.60644937e+00, -3.74527454e+00, 6.58991979e-03
-9.26836014e+00, -2.60644937e+00, 1.00712490e+00, 6.66321628e-03
-9.26836014e+00, -2.60644937e+00, 5.75952053e+00, 6.65866258e-03
-9.26836014e+00, -2.60644937e+00, 1.05119200e+01, 9.04162694e-03
-1.40207596e+01, -2.60644937e+00, -8.49767208e+00, 6.12263009e-03
-1.40207596e+01, -2.60644937e+00, -3.74527454e+00, 6.23572385e-03
-1.40207596e+01, -2.60644937e+00, 1.00712490e+00, 6.47886004e-03
-1.40207596e+01, -2.60644937e+00, 5.75952053e+00, 6.41206000e-03
-1.40207596e+01, -2.60644937e+00, 1.05119200e+01, 8.64139944e-03
